Week,Index,SearchWord,Category
2021-08-29,55,Sicily,All
2021-09-05,51,Sicily,All
2021-09-12,51,Sicily,All
2021-09-19,50,Sicily,All
2021-09-26,48,Sicily,All
2021-10-03,49,Sicily,All
2021-10-10,45,Sicily,All
2021-10-17,46,Sicily,All
2021-10-24,57,Sicily,All
2021-10-31,42,Sicily,All
2021-11-07,41,Sicily,All
2021-11-14,42,Sicily,All
2021-11-21,39,Sicily,All
2021-11-28,34,Sicily,All
2021-12-05,34,Sicily,All
2021-12-12,37,Sicily,All
2021-12-19,34,Sicily,All
2021-12-26,49,Sicily,All
2022-01-02,50,Sicily,All
2022-01-09,48,Sicily,All
2022-01-16,47,Sicily,All
2022-01-23,51,Sicily,All
2022-01-30,53,Sicily,All
2022-02-06,58,Sicily,All
2022-02-13,66,Sicily,All
2022-02-20,55,Sicily,All
2022-02-27,54,Sicily,All
2022-03-06,56,Sicily,All
2022-03-13,59,Sicily,All
2022-03-20,60,Sicily,All
2022-03-27,58,Sicily,All
2022-04-03,61,Sicily,All
2022-04-10,73,Sicily,All
2022-04-17,67,Sicily,All
2022-04-24,73,Sicily,All
2022-05-01,75,Sicily,All
2022-05-08,68,Sicily,All
2022-05-15,70,Sicily,All
2022-05-22,68,Sicily,All
2022-05-29,71,Sicily,All
2022-06-05,76,Sicily,All
2022-06-12,79,Sicily,All
2022-06-19,69,Sicily,All
2022-06-26,71,Sicily,All
2022-07-03,72,Sicily,All
2022-07-10,75,Sicily,All
2022-07-17,76,Sicily,All
2022-07-24,70,Sicily,All
2022-07-31,72,Sicily,All
2022-08-07,78,Sicily,All
2022-08-14,80,Sicily,All
2022-08-21,69,Sicily,All
2022-08-28,67,Sicily,All
2022-09-04,71,Sicily,All
2022-09-11,67,Sicily,All
2022-09-18,64,Sicily,All
2022-09-25,59,Sicily,All
2022-10-02,60,Sicily,All
2022-10-09,57,Sicily,All
2022-10-16,52,Sicily,All
2022-10-23,62,Sicily,All
2022-10-30,59,Sicily,All
2022-11-06,64,Sicily,All
2022-11-13,61,Sicily,All
2022-11-20,56,Sicily,All
2022-11-27,62,Sicily,All
2022-12-04,58,Sicily,All
2022-12-11,69,Sicily,All
2022-12-18,58,Sicily,All
2022-12-25,75,Sicily,All
2023-01-01,84,Sicily,All
2023-01-08,79,Sicily,All
2023-01-15,88,Sicily,All
2023-01-22,76,Sicily,All
2023-01-29,81,Sicily,All
2018-02-04,59,Sardinia,All
2018-02-11,49,Sardinia,All
2018-02-18,52,Sardinia,All
2018-02-25,54,Sardinia,All
2018-03-04,52,Sardinia,All
2018-03-11,57,Sardinia,All
2018-03-18,59,Sardinia,All
2018-03-25,60,Sardinia,All
2018-04-01,61,Sardinia,All
2018-04-08,56,Sardinia,All
2018-04-15,55,Sardinia,All
2018-04-22,63,Sardinia,All
2018-04-29,64,Sardinia,All
2018-05-06,64,Sardinia,All
2018-05-13,65,Sardinia,All
2018-05-20,68,Sardinia,All
2018-05-27,82,Sardinia,All
2018-06-03,79,Sardinia,All
2018-06-10,77,Sardinia,All
2018-06-17,79,Sardinia,All
2018-06-24,80,Sardinia,All
2018-07-01,82,Sardinia,All
2018-07-08,94,Sardinia,All
